Department,Location,Part,Heci,Description,Qty,UOM,Manufacturer,Notes,Alternative Part Number
FIBER CABLE,G-2,SC/SC-SFR-010M-FCD-VT,,SC/UPC-SC/UPC SINGLE FIBER RISOR 10 METER,2,EA,,10M = 33FT.,
FIBER CABLE,G-2,,,SC/UPC-SC/UPC 2F XB MIC FIBER RISOR 10 METER,1,EA,,10M = 33FT.,
FIBER CABLE,G-2,LC/SC-SMD-01M-FCD-VT,,SC/UPC-LC/UPC SINGLE MODE DUPLEX 1 METER,3,EA,,1M = 3FT.,
FIBER CABLE,G-2,,,SC/UPC-ST/UPC 2F DFX FIBER RISOR 3 METER,1,EA,,3M = 10FT.,
FIBER CABLE,G-2,LC/SC-SMD-030M-FCD-VT,,SC/UPC-LC/UPC SINGLE MODE DUPLEX 30 METER,4,EA,,30M = 98.5FT,
FIBER CABLE,G-2,LC/SC-SMD-02M-FCD-VT,,SC/UPC-LC/UPC SINGLE MODE DUPLEX (WITH FLEX BOOTS) 2 METER,36,EA,,2M = 6.5FT.,
FIBER CABLE,G-2,LC/SC-SMD-015M-FCD-VT,,SC/UPC-LC/UPC SINGLE MODE DUPLEX 15 METER,26,EA,,15M = 49FT.,
FIBER CABLE,G-2,LC/LC-SMD-02M-FCD-VT,,LC/UPC-LC/UPC SINGLE MODE DUPLEX 2 METER,115,EA,,2M = 6.5FT.,
FIBER CABLE,G-2,LC/LC-SMD-019M-FCD-VT,,LC/UPC-LC/UPC SINGLE MODE DUPLEX 19 METER,28,EA,,19M = 62FT.,
FIBER CABLE,G-2,LC/SC-SMD-03M-FCD-VT,,SC/UPC-LC/UPC SINGLE MODE DUPLEX 3 METER,26,EA,,3M = 10FT.,
FIBER CABLE,G-2,LC/LC-AQUA-02M-FCD-VT,,LC/UPC-LC/UPC MULTI-MODE AQUA 2 METER,7,EA,,2M = 6.5FT.,
FIBER CABLE,G-2,LC/LC-BLUE-03.5M-FCD-VT,,LC/UPC-LC/UPC MULTI-MODE BLUE 3.5 METER,3,EA,,3.5M = 11.5FT.,
FIBER CABLE,G-2,LC/LC-AQUA-03M-FCD-VT,,LC/UPC-LC/UPC MULTI-MODE AQUA 3 METER,7,EA,,3M = 10FT.,
FIBER CABLE,G-2,SC/SC-BLUE-05M-FCD-VT,,SC/UPC-SC/UPC MULTI-MODE BLUE 5 METER,1,EA,,5M = 16.5FT,
FIBER CABLE,G-2,LC/LC-AQUA-010M-FCD-VT,,LC/UPC-LC/UPC MULTI-MODE AQUA 10 METER,2,EA,,10M = 33FT.,
FIBER CABLE,G-2,LC/LC-SF-BLUE-03M-FCD-VT,,LC/UPC-LC/UPC SINGLE FIBER RISOR BLUE 3 METER,2,EA,,3M = 10FT.,
,,,,,,,,,
FIBER DUCT,C-1,FGS-MJWR-C,,2X2 FIBER JUNCTION KIT,2,EA,,,
FIBER DUCT,C-1,FGS-MSDS-C,,2X2 DOWNSPOUT KIT,2,EA,,,
FIBER DUCT,C-1,FGS-MEXP-LP-G,,2X2 DOWNSPOUT EXPRESS EXIT KIT,2,EA,,,
FIBER DUCT,C-1,FGS-MD4A-C,,2X2 45degree DOWN ELBOW KIT,5,EA,,,
